Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep,Sleep Time,Minutes after 9 pm,Weekday,Awake Time,Sleep Score
2022-09-28,425,63,35,488,107.0,248.0,70.0, 10:47,107,2, 6:55,81
2022-09-27,421,59,32,480,113.0,231.0,77.0, 10:56,116,1, 6:56,80
2022-09-26,433,63,33,496,73.0,273.0,87.0, 10:39,99,0, 6:55,78
2022-09-25,409,75,34,484,88.0,217.0,104.0, 10:50,110,6, 6:54,76
2022-09-25,482,51,34,533,117.0,297.0,68.0, 12:21,201,6, 9:14,88
2022-09-24,401,50,32,451,104.0,214.0,83.0, 12:53,233,5, 8:24,79
2022-09-22,441,48,29,489,109.0,288.0,44.0, 10:46,106,3, 6:55,82
2022-09-21,385,48,30,433,96.0,211.0,78.0, 11:42,162,2, 6:55,79
2022-09-20,422,59,34,481,88.0,257.0,77.0, 10:55,115,1, 6:56,80
2022-09-18,392,68,33,460,89.0,166.0,137.0, 11:19,139,6, 6:59,78
2022-09-18,471,42,43,513,121.0,247.0,103.0, 12:34,214,6, 9:07,85
2022-09-16,471,76,36,547,121.0,267.0,83.0, 11:46,166,4, 8:53,80
2022-09-15,459,45,31,504,116.0,289.0,54.0, 10:39,99,3, 7:03,83
2022-09-14,449,42,27,491,118.0,248.0,83.0, 10:49,109,2, 7:00,85
2022-09-13,475,62,38,537,112.0,311.0,52.0, 10:55,115,1, 7:52,83
2022-09-12,441,61,26,502,106.0,275.0,60.0, 10:37,97,0, 6:59,82
2022-09-11,442,54,35,496,111.0,227.0,104.0, 10:44,104,6, 7:00,85
2022-09-11,403,49,27,452,115.0,214.0,74.0, 1:54,294,6, 9:26,79
2022-09-10,457,61,34,518,109.0,296.0,52.0, 12:20,200,5, 8:58,83
2022-09-09,419,50,31,469,121.0,227.0,71.0, 12:11,191,4, 8:00,81
2022-09-07,449,81,35,530,136.0,219.0,94.0, 9:55,55,2, 6:45,80
2022-09-06,429,60,37,489,86.0,282.0,61.0, 10:51,111,1, 7:00,81
2022-09-05,421,49,41,470,91.0,266.0,64.0, 11:02,122,0, 6:52,79
2022-09-03,425,54,32,479,122.0,247.0,56.0, 1:35,275,5, 9:34,80
2022-09-02,355,46,30,401,90.0,189.0,76.0, 12:14,194,4, 6:55,77
2022-08-31,441,55,27,496,119.0,227.0,95.0, 10:45,105,2, 7:01,83